Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RDPG,WPG
ATL,NL,2003,907,740,101,0.349,0.475,0.284,1,1,4,162,0.327,0.401,1.031,0.623
BAL,AL,2003,743,820,71,0.323,0.405,0.268,0,,,163,0.346,0.446,-0.472,0.436
BOS,AL,2003,961,809,95,0.36,0.491,0.289,1,4,3,162,0.327,0.415,0.938,0.586
CHC,NL,2003,724,683,88,0.323,0.416,0.259,1,7,3,162,0.324,0.372,0.253,0.543
CHW,AL,2003,791,715,86,0.331,0.446,0.263,0,,,162,0.322,0.404,0.469,0.531
CIN,NL,2003,694,886,69,0.318,0.395,0.245,0,,,162,0.349,0.463,-1.185,0.426
CLE,AL,2003,699,778,68,0.316,0.401,0.254,0,,,162,0.329,0.426,-0.488,0.42
COL,NL,2003,853,892,74,0.344,0.445,0.267,0,,,162,0.359,0.47,-0.241,0.457
DET,AL,2003,591,928,43,0.3,0.375,0.24,0,,,162,0.352,0.461,-2.08,0.265
FLA,NL,2003,751,692,91,0.333,0.421,0.266,1,5,1,162,0.325,0.396,0.364,0.562
HOU,NL,2003,805,677,87,0.336,0.431,0.263,0,,,162,0.326,0.397,0.79,0.537
KCR,AL,2003,836,867,83,0.336,0.427,0.274,0,,,162,0.348,0.45,-0.191,0.512
LAD,NL,2003,574,556,85,0.303,0.368,0.243,0,,,162,0.306,0.354,0.111,0.525
MIL,NL,2003,714,873,68,0.329,0.419,0.256,0,,,162,0.348,0.462,-0.981,0.42
MIN,AL,2003,801,758,90,0.341,0.431,0.277,1,6,4,162,0.319,0.428,0.265,0.556
MON,NL,2003,711,716,83,0.326,0.401,0.258,0,,,162,0.327,0.423,-0.031,0.512
NYM,NL,2003,642,754,66,0.314,0.374,0.247,0,,,161,0.345,0.438,-0.696,0.41
NYY,AL,2003,877,716,101,0.356,0.453,0.271,1,1,2,163,0.314,0.407,0.988,0.62
OAK,AL,2003,768,643,96,0.327,0.417,0.254,1,3,4,162,0.314,0.376,0.772,0.593
PHI,NL,2003,791,697,86,0.343,0.419,0.261,0,,,162,0.327,0.401,0.58,0.531
PIT,NL,2003,753,801,75,0.338,0.42,0.267,0,,,162,0.336,0.431,-0.296,0.463
SDP,NL,2003,678,831,64,0.333,0.388,0.261,0,,,162,0.341,0.437,-0.944,0.395
SEA,AL,2003,795,637,93,0.344,0.41,0.271,0,,,162,0.311,0.388,0.975,0.574
SFG,NL,2003,755,638,100,0.338,0.425,0.264,1,2,4,161,0.321,0.386,0.727,0.621
STL,NL,2003,876,796,85,0.35,0.454,0.279,0,,,162,0.336,0.452,0.494,0.525
TBD,AL,2003,715,852,63,0.32,0.404,0.265,0,,,162,0.347,0.44,-0.846,0.389
TEX,AL,2003,826,969,71,0.33,0.454,0.266,0,,,162,0.36,0.473,-0.883,0.438
TOR,AL,2003,894,826,86,0.349,0.455,0.279,0,,,162,0.337,0.441,0.42,0.531
ANA,AL,2002,851,644,99,0.341,0.433,0.282,1,3,1,162,0.314,0.392,1.278,0.611
ARI,NL,2002,819,674,98,0.346,0.423,0.267,1,4,4,162,0.305,0.397,0.895,0.605
ATL,NL,2002,708,565,101,0.331,0.409,0.26,1,2,4,161,0.313,0.364,0.888,0.627
BAL,AL,2002,667,773,67,0.309,0.403,0.246,0,,,162,0.336,0.435,-0.654,0.414
BOS,AL,2002,859,665,93,0.345,0.444,0.277,0,,,162,0.308,0.385,1.198,0.574
CHC,NL,2002,706,759,67,0.321,0.413,0.246,0,,,162,0.331,0.407,-0.327,0.414
CHW,AL,2002,856,798,81,0.338,0.449,0.268,0,,,162,0.33,0.423,0.358,0.5
CIN,NL,2002,709,774,78,0.33,0.408,0.253,0,,,162,0.338,0.426,-0.401,0.481
CLE,AL,2002,739,837,74,0.321,0.412,0.249,0,,,162,0.348,0.423,-0.605,0.457
COL,NL,2002,778,898,73,0.337,0.423,0.274,0,,,162,0.349,0.466,-0.741,0.451
DET,AL,2002,575,864,55,0.3,0.379,0.248,0,,,161,0.343,0.455,-1.795,0.342
FLA,NL,2002,699,763,79,0.337,0.403,0.261,0,,,162,0.341,0.415,-0.395,0.488
HOU,NL,2002,749,695,84,0.338,0.417,0.262,0,,,162,0.33,0.41,0.333,0.519
KCR,AL,2002,737,891,62,0.323,0.398,0.256,0,,,162,0.349,0.464,-0.951,0.383
LAD,NL,2002,713,643,92,0.32,0.409,0.264,0,,,162,0.315,0.387,0.432,0.568
MIL,NL,2002,627,821,56,0.32,0.39,0.253,0,,,162,0.352,0.442,-1.198,0.346
MIN,AL,2002,768,712,94,0.332,0.437,0.272,1,7,3,161,0.318,0.421,0.348,0.584
MON,NL,2002,735,718,83,0.334,0.418,0.261,0,,,162,0.329,0.421,0.105,0.512
NYM,NL,2002,690,703,75,0.322,0.395,0.256,0,,,161,0.327,0.403,-0.081,0.466
NYY,AL,2002,897,697,103,0.354,0.455,0.275,1,1,4,161,0.309,0.395,1.242,0.64
OAK,AL,2002,800,654,103,0.339,0.432,0.261,1,1,4,162,0.315,0.384,0.901,0.636
PHI,NL,2002,710,724,80,0.339,0.422,0.259,0,,,161,0.328,0.401,-0.087,0.497
PIT,NL,2002,641,730,72,0.319,0.381,0.244,0,,,161,0.342,0.423,-0.553,0.447
SDP,NL,2002,662,815,66,0.321,0.381,0.253,0,,,162,0.346,0.442,-0.944,0.407
SEA,AL,2002,814,699,93,0.35,0.419,0.275,0,,,162,0.315,0.41,0.71,0.574
SFG,NL,2002,783,616,95,0.344,0.442,0.267,1,6,2,162,0.319,0.372,1.031,0.586
STL,NL,2002,787,648,97,0.338,0.425,0.268,1,5,3,162,0.323,0.386,0.858,0.599
TBD,AL,2002,673,918,55,0.314,0.39,0.253,0,,,161,0.357,0.463,-1.522,0.342
TEX,AL,2002,843,882,72,0.338,0.455,0.269,0,,,162,0.355,0.451,-0.241,0.444
TOR,AL,2002,813,828,78,0.327,0.43,0.261,0,,,162,0.344,0.431,-0.093,0.481
ANA,AL,2001,691,730,75,0.327,0.405,0.261,0,,,162,0.331,0.412,-0.241,0.463
ARI,NL,2001,818,677,92,0.341,0.442,0.267,1,5,1,162,0.311,0.404,0.87,0.568
ATL,NL,2001,729,643,88,0.324,0.412,0.26,1,7,3,162,0.314,0.384,0.531,0.543
BAL,AL,2001,687,829,63,0.319,0.38,0.248,0,,,162,0.337,0.439,-0.877,0.389
BOS,AL,2001,772,745,82,0.334,0.439,0.266,0,,,161,0.329,0.393,0.168,0.509
CHC,NL,2001,777,701,88,0.336,0.43,0.261,0,,,162,0.321,0.398,0.469,0.543
CHW,AL,2001,798,795,83,0.334,0.451,0.268,0,,,162,0.334,0.427,0.019,0.512
CIN,NL,2001,735,850,66,0.324,0.419,0.262,0,,,162,0.341,0.455,-0.71,0.407
CLE,AL,2001,897,821,91,0.35,0.458,0.278,1,6,4,162,0.341,0.417,0.469,0.562
COL,NL,2001,923,906,73,0.354,0.483,0.292,0,,,162,0.35,0.48,0.105,0.451
DET,AL,2001,724,876,66,0.32,0.409,0.26,0,,,162,0.357,0.461,-0.938,0.407
FLA,NL,2001,742,744,76,0.326,0.423,0.264,0,,,162,0.338,0.411,-0.012,0.469
HOU,NL,2001,847,769,93,0.347,0.451,0.271,1,4,4,162,0.325,0.437,0.481,0.574
KCR,AL,2001,729,858,65,0.318,0.409,0.266,0,,,162,0.348,0.45,-0.796,0.401
LAD,NL,2001,758,744,86,0.323,0.425,0.255,0,,,162,0.323,0.411,0.086,0.531
MIL,NL,2001,740,806,68,0.319,0.426,0.251,0,,,162,0.35,0.44,-0.407,0.42
MIN,AL,2001,771,766,85,0.337,0.433,0.272,0,,,162,0.325,0.437,0.031,0.525
MON,NL,2001,670,812,68,0.319,0.396,0.253,0,,,162,0.339,0.441,-0.877,0.42
NYM,NL,2001,642,713,82,0.323,0.387,0.249,0,,,162,0.314,0.419,-0.438,0.506
NYY,AL,2001,804,713,95,0.334,0.435,0.267,1,3,2,161,0.318,0.398,0.565,0.59
OAK,AL,2001,884,645,102,0.345,0.439,0.264,1,2,4,162,0.308,0.38,1.475,0.63
PHI,NL,2001,746,719,86,0.329,0.414,0.26,0,,,162,0.329,0.424,0.167,0.531
PIT,NL,2001,657,858,62,0.313,0.393,0.247,0,,,162,0.344,0.433,-1.241,0.383
SDP,NL,2001,789,812,79,0.336,0.399,0.252,0,,,162,0.33,0.45,-0.142,0.488
SEA,AL,2001,927,627,116,0.36,0.445,0.288,1,1,3,162,0.301,0.378,1.852,0.716
SFG,NL,2001,799,748,90,0.342,0.46,0.266,0,,,162,0.329,0.404,0.315,0.556
STL,NL,2001,814,684,93,0.339,0.441,0.27,1,4,4,162,0.328,0.428,0.802,0.574
TBD,AL,2001,672,887,62,0.32,0.388,0.258,0,,,162,0.345,0.452,-1.327,0.383
TEX,AL,2001,890,968,73,0.344,0.471,0.275,0,,,162,0.362,0.494,-0.481,0.451
TOR,AL,2001,767,753,80,0.325,0.43,0.263,0,,,162,0.339,0.435,0.086,0.494
ANA,AL,2000,864,869,82,0.352,0.472,0.28,0,,,162,0.351,0.453,-0.031,0.506
ARI,NL,2000,792,754,85,0.333,0.429,0.265,0,,,162,0.326,0.424,0.235,0.525
ATL,NL,2000,810,714,95,0.346,0.429,0.271,1,2,4,162,0.319,0.402,0.593,0.586
BAL,AL,2000,794,913,74,0.341,0.435,0.272,0,,,162,0.352,0.449,-0.735,0.457
BOS,AL,2000,792,745,85,0.341,0.423,0.267,0,,,162,0.322,0.411,0.29,0.525
CHC,NL,2000,764,904,65,0.335,0.411,0.256,0,,,162,0.348,0.452,-0.864,0.401
CHW,AL,2000,978,839,95,0.356,0.47,0.286,1,2,4,162,0.346,0.434,0.858,0.586
CIN,NL,2000,825,765,85,0.343,0.447,0.274,0,,,163,0.341,0.438,0.368,0.521
CLE,AL,2000,950,816,90,0.367,0.47,0.288,0,,,162,0.35,0.425,0.827,0.556
COL,NL,2000,968,897,82,0.362,0.455,0.294,0,,,162,0.354,0.471,0.438,0.506
DET,AL,2000,823,827,79,0.343,0.438,0.275,0,,,162,0.34,0.443,-0.025,0.488
FLA,NL,2000,731,797,79,0.331,0.409,0.262,0,,,161,0.348,0.429,-0.41,0.491
HOU,NL,2000,938,944,72,0.361,0.477,0.278,0,,,162,0.353,0.476,-0.037,0.444
KCR,AL,2000,879,930,77,0.348,0.425,0.288,0,,,162,0.362,0.474,-0.315,0.475
LAD,NL,2000,798,729,86,0.341,0.431,0.257,0,,,162,0.332,0.407,0.426,0.531
MIL,NL,2000,740,826,73,0.325,0.403,0.246,0,,,163,0.357,0.42,-0.528,0.448
MIN,AL,2000,748,880,69,0.337,0.407,0.27,0,,,162,0.347,0.466,-0.815,0.426
MON,NL,2000,738,902,67,0.326,0.432,0.266,0,,,162,0.353,0.449,-1.012,0.414
NYM,NL,2000,807,738,94,0.346,0.43,0.263,1,3,2,162,0.327,0.403,0.426,0.58
NYY,AL,2000,871,814,87,0.354,0.45,0.277,1,5,1,161,0.336,0.422,0.354,0.54
OAK,AL,2000,947,813,91,0.36,0.458,0.27,1,4,4,161,0.348,0.423,0.832,0.565
PHI,NL,2000,708,830,65,0.329,0.4,0.251,0,,,162,0.343,0.448,-0.753,0.401
PIT,NL,2000,793,888,69,0.339,0.424,0.267,0,,,162,0.361,0.432,-0.586,0.426
SDP,NL,2000,752,815,76,0.33,0.402,0.254,0,,,162,0.34,0.416,-0.389,0.469
SEA,AL,2000,907,780,91,0.361,0.442,0.269,1,4,3,162,0.339,0.416,0.784,0.562
SFG,NL,2000,925,747,97,0.362,0.472,0.278,1,1,4,162,0.342,0.412,1.099,0.599
STL,NL,2000,887,771,95,0.356,0.455,0.27,1,2,3,162,0.338,0.434,0.716,0.586
TBD,AL,2000,733,842,69,0.329,0.399,0.257,0,,,161,0.345,0.451,-0.677,0.429
TEX,AL,2000,848,974,71,0.352,0.446,0.283,0,,,162,0.369,0.475,-0.778,0.438
TOR,AL,2000,861,908,83,0.341,0.469,0.275,0,,,162,0.354,0.456,-0.29,0.512
ANA,AL,1999,711,826,70,0.322,0.395,0.256,0,,,162,0.346,0.427,-0.71,0.432
ARI,NL,1999,908,676,100,0.347,0.459,0.277,1,2,4,162,0.32,0.402,1.432,0.617
ATL,NL,1999,840,661,103,0.341,0.436,0.266,1,1,2,162,0.314,0.377,1.105,0.636
BAL,AL,1999,851,815,78,0.353,0.447,0.279,0,,,162,0.35,0.441,0.222,0.481
BOS,AL,1999,836,718,94,0.35,0.448,0.278,1,6,3,162,0.315,0.398,0.728,0.58
CHC,NL,1999,747,920,67,0.329,0.42,0.257,0,,,162,0.346,0.467,-1.068,0.414
CHW,AL,1999,777,870,75,0.337,0.429,0.277,0,,,162,0.353,0.447,-0.574,0.463
CIN,NL,1999,865,711,96,0.341,0.451,0.272,0,,,163,0.324,0.411,0.945,0.589
CLE,AL,1999,1009,860,97,0.373,0.467,0.289,1,4,4,162,0.347,0.439,0.92,0.599
COL,NL,1999,906,1028,72,0.348,0.472,0.288,0,,,162,0.384,0.499,-0.753,0.444
DET,AL,1999,747,882,69,0.326,0.443,0.261,0,,,161,0.349,0.451,-0.839,0.429
FLA,NL,1999,691,852,64,0.325,0.395,0.263,0,,,162,0.359,0.44,-0.994,0.395
HOU,NL,1999,823,675,97,0.355,0.42,0.267,1,4,4,162,0.326,0.397,0.914,0.599
KCR,AL,1999,856,921,64,0.348,0.433,0.282,0,,,161,0.365,0.454,-0.404,0.398
LAD,NL,1999,793,787,77,0.339,0.42,0.266,0,,,162,0.336,0.422,0.037,0.475
MIL,NL,1999,815,886,74,0.353,0.426,0.273,0,,,161,0.356,0.457,-0.441,0.46
MIN,AL,1999,686,845,63,0.328,0.384,0.264,0,,,161,0.342,0.465,-0.988,0.391
MON,NL,1999,718,853,68,0.323,0.427,0.265,0,,,162,0.342,0.418,-0.833,0.42
NYM,NL,1999,853,711,97,0.363,0.434,0.279,1,4,3,163,0.331,0.418,0.871,0.595
NYY,AL,1999,900,731,98,0.366,0.453,0.282,1,3,1,162,0.329,0.4,1.043,0.605
OAK,AL,1999,893,846,87,0.355,0.446,0.259,0,,,162,0.344,0.428,0.29,0.537
PHI,NL,1999,841,846,77,0.351,0.431,0.275,0,,,162,0.347,0.447,-0.031,0.475
PIT,NL,1999,775,782,78,0.334,0.419,0.259,0,,,161,0.343,0.42,-0.043,0.484
SDP,NL,1999,710,781,74,0.332,0.393,0.252,0,,,162,0.333,0.43,-0.438,0.457
SEA,AL,1999,859,905,79,0.343,0.455,0.269,0,,,162,0.368,0.454,-0.284,0.488
SFG,NL,1999,872,831,86,0.356,0.434,0.271,0,,,162,0.345,0.423,0.253,0.531
STL,NL,1999,809,838,75,0.338,0.426,0.262,0,,,161,0.355,0.427,-0.18,0.466
TBD,AL,1999,772,913,69,0.343,0.411,0.274,0,,,162,0.371,0.448,-0.87,0.426
TEX,AL,1999,945,859,95,0.361,0.479,0.293,1,5,4,162,0.346,0.459,0.531,0.586
TOR,AL,1999,883,862,84,0.352,0.457,0.28,0,,,162,0.353,0.456,0.13,0.519
ANA,AL,1998,787,783,85,0.335,0.415,0.272,0,,,162,,,0.025,0.525
ARI,NL,1998,665,812,65,0.314,0.393,0.246,0,,,162,,,-0.907,0.401
ATL,NL,1998,826,581,106,0.342,0.453,0.272,1,2,3,162,,,1.512,0.654
BAL,AL,1998,817,785,79,0.347,0.447,0.273,0,,,162,,,0.198,0.488
BOS,AL,1998,876,729,92,0.348,0.463,0.28,1,5,4,162,,,0.907,0.568
CHC,NL,1998,831,792,90,0.337,0.433,0.264,1,6,4,163,,,0.239,0.552
CHW,AL,1998,861,931,80,0.339,0.444,0.271,0,,,163,,,-0.429,0.491
CIN,NL,1998,750,760,77,0.337,0.402,0.262,0,,,162,,,-0.062,0.475
CLE,AL,1998,850,779,89,0.347,0.448,0.272,1,7,3,162,,,0.438,0.549
COL,NL,1998,826,855,77,0.347,0.461,0.291,0,,,162,,,-0.179,0.475
DET,AL,1998,722,863,65,0.323,0.415,0.264,0,,,162,,,-0.87,0.401
FLA,NL,1998,667,923,54,0.317,0.373,0.248,0,,,162,,,-1.58,0.333
HOU,NL,1998,874,620,102,0.356,0.436,0.28,1,3,4,162,,,1.568,0.63
KCR,AL,1998,714,899,72,0.324,0.399,0.263,0,,,161,,,-1.149,0.447
LAD,NL,1998,669,678,83,0.31,0.387,0.252,0,,,162,,,-0.056,0.512
MIL,NL,1998,707,812,74,0.33,0.396,0.26,0,,,162,,,-0.648,0.457
MIN,AL,1998,734,818,70,0.328,0.389,0.266,0,,,162,,,-0.519,0.432
MON,NL,1998,644,783,65,0.31,0.394,0.249,0,,,162,,,-0.858,0.401
NYM,NL,1998,706,645,88,0.33,0.394,0.259,0,,,162,,,0.377,0.543
NYY,AL,1998,965,656,114,0.364,0.46,0.288,1,1,1,162,,,1.907,0.704
OAK,AL,1998,804,866,74,0.338,0.397,0.257,0,,,162,,,-0.383,0.457
PHI,NL,1998,713,808,75,0.326,0.395,0.264,0,,,162,,,-0.586,0.463
PIT,NL,1998,650,718,69,0.311,0.374,0.254,0,,,163,,,-0.417,0.423
SDP,NL,1998,749,635,98,0.33,0.409,0.253,1,4,2,162,,,0.704,0.605
SEA,AL,1998,859,855,76,0.345,0.468,0.276,0,,,161,,,0.025,0.472
SFG,NL,1998,845,739,89,0.353,0.421,0.274,0,,,163,,,0.65,0.546
STL,NL,1998,810,782,83,0.341,0.441,0.258,0,,,163,,,0.172,0.509
TBD,AL,1998,620,751,63,0.321,0.385,0.261,0,,,162,,,-0.809,0.389
TEX,AL,1998,940,871,88,0.357,0.462,0.289,1,8,4,162,,,0.426,0.543
TOR,AL,1998,816,768,88,0.34,0.448,0.266,0,,,163,,,0.294,0.54
ANA,AL,1997,829,794,84,0.346,0.416,0.272,0,,,162,,,0.216,0.519
ATL,NL,1997,791,581,101,0.343,0.426,0.27,1,1,3,162,,,1.296,0.623
BAL,AL,1997,812,681,98,0.341,0.429,0.268,1,2,3,162,,,0.809,0.605
BOS,AL,1997,851,857,78,0.352,0.463,0.291,0,,,162,,,-0.037,0.481
CHC,NL,1997,687,759,68,0.321,0.396,0.263,0,,,162,,,-0.444,0.42
CHW,AL,1997,779,833,80,0.341,0.417,0.273,0,,,161,,,-0.335,0.497
CIN,NL,1997,651,764,76,0.321,0.389,0.253,0,,,162,,,-0.698,0.469
CLE,AL,1997,868,815,86,0.358,0.467,0.286,1,6,2,161,,,0.329,0.534
COL,NL,1997,923,908,83,0.357,0.478,0.288,0,,,162,,,0.093,0.512
DET,AL,1997,784,790,79,0.332,0.415,0.258,0,,,162,,,-0.037,0.488
FLA,NL,1997,740,669,92,0.346,0.395,0.259,1,4,1,162,,,0.438,0.568
HOU,NL,1997,777,660,84,0.344,0.403,0.259,1,7,4,162,,,0.722,0.519
KCR,AL,1997,747,820,67,0.333,0.407,0.264,0,,,161,,,-0.453,0.416
LAD,NL,1997,742,645,88,0.33,0.418,0.268,0,,,162,,,0.599,0.543
MIL,AL,1997,681,742,78,0.325,0.398,0.26,0,,,161,,,-0.379,0.484
MIN,AL,1997,772,861,68,0.333,0.409,0.27,0,,,162,,,-0.549,0.42
MON,NL,1997,691,740,78,0.316,0.425,0.258,0,,,162,,,-0.302,0.481
NYM,NL,1997,777,709,88,0.332,0.405,0.262,0,,,162,,,0.42,0.543
NYY,AL,1997,891,688,96,0.362,0.436,0.287,1,3,4,162,,,1.253,0.593
OAK,AL,1997,764,946,65,0.339,0.423,0.26,0,,,162,,,-1.123,0.401
PHI,NL,1997,668,840,68,0.322,0.385,0.255,0,,,162,,,-1.062,0.42
PIT,NL,1997,725,760,79,0.329,0.404,0.262,0,,,162,,,-0.216,0.488
SDP,NL,1997,795,891,76,0.342,0.407,0.271,0,,,162,,,-0.593,0.469
SEA,AL,1997,925,833,90,0.355,0.485,0.28,1,5,4,162,,,0.568,0.556
SFG,NL,1997,784,793,90,0.337,0.414,0.258,1,5,4,162,,,-0.056,0.556
STL,NL,1997,689,708,73,0.324,0.396,0.255,0,,,162,,,-0.117,0.451
TEX,AL,1997,807,823,77,0.334,0.438,0.274,0,,,162,,,-0.099,0.475
TOR,AL,1997,654,694,76,0.31,0.389,0.244,0,,,162,,,-0.247,0.469
ATL,NL,1996,773,648,96,0.333,0.432,0.27,1,2,2,162,,,0.772,0.593
BAL,AL,1996,949,903,88,0.35,0.472,0.274,1,6,3,163,,,0.282,0.54
BOS,AL,1996,928,921,85,0.359,0.457,0.283,0,,,162,,,0.043,0.525
CAL,AL,1996,762,943,70,0.339,0.431,0.276,0,,,161,,,-1.124,0.435
CHC,NL,1996,772,771,76,0.32,0.401,0.251,0,,,162,,,0.006,0.469
CHW,AL,1996,898,794,85,0.36,0.447,0.281,0,,,162,,,0.642,0.525
CIN,NL,1996,778,773,81,0.331,0.422,0.256,0,,,162,,,0.031,0.5
CLE,AL,1996,952,769,99,0.369,0.475,0.293,1,1,4,161,,,1.137,0.615
COL,NL,1996,961,964,83,0.355,0.472,0.287,0,,,162,,,-0.019,0.512
DET,AL,1996,783,1103,53,0.323,0.42,0.256,0,,,162,,,-1.975,0.327
FLA,NL,1996,688,703,80,0.329,0.393,0.257,0,,,162,,,-0.093,0.494
HOU,NL,1996,753,792,82,0.336,0.397,0.262,0,,,162,,,-0.241,0.506
KCR,AL,1996,746,786,75,0.332,0.398,0.267,0,,,161,,,-0.248,0.466
LAD,NL,1996,703,652,90,0.316,0.384,0.252,1,5,4,162,,,0.315,0.556
MIL,AL,1996,894,899,80,0.353,0.441,0.279,0,,,162,,,-0.031,0.494
MIN,AL,1996,877,900,78,0.357,0.425,0.288,0,,,162,,,-0.142,0.481
MON,NL,1996,741,668,88,0.327,0.406,0.262,0,,,162,,,0.451,0.543
NYM,NL,1996,746,779,71,0.324,0.412,0.27,0,,,162,,,-0.204,0.438
NYY,AL,1996,871,787,92,0.36,0.436,0.288,1,3,1,162,,,0.519,0.568
OAK,AL,1996,861,900,78,0.344,0.452,0.265,0,,,162,,,-0.241,0.481
PHI,NL,1996,650,790,67,0.325,0.387,0.256,0,,,162,,,-0.864,0.414
PIT,NL,1996,776,833,73,0.329,0.407,0.266,0,,,162,,,-0.352,0.451
SDP,NL,1996,771,682,91,0.338,0.402,0.265,1,4,4,162,,,0.549,0.562
SEA,AL,1996,993,895,85,0.366,0.484,0.287,0,,,161,,,0.609,0.528
SFG,NL,1996,752,862,68,0.331,0.388,0.253,0,,,162,,,-0.679,0.42
STL,NL,1996,759,706,88,0.33,0.407,0.267,1,6,3,162,,,0.327,0.543
TEX,AL,1996,928,799,90,0.358,0.469,0.284,1,5,4,163,,,0.791,0.552
TOR,AL,1996,766,809,74,0.331,0.42,0.259,0,,,162,,,-0.265,0.457
ATL,NL,1993,767,559,104,0.331,0.408,0.262,1,1,3,162,,,1.284,0.642
BAL,AL,1993,786,745,85,0.346,0.413,0.267,0,,,162,,,0.253,0.525
BOS,AL,1993,686,698,80,0.33,0.395,0.264,0,,,162,,,-0.074,0.494
CAL,AL,1993,684,770,71,0.331,0.38,0.26,0,,,162,,,-0.531,0.438
CHC,NL,1993,738,739,84,0.325,0.414,0.27,0,,,163,,,-0.006,0.515
CHW,AL,1993,776,664,94,0.338,0.411,0.265,1,4,3,162,,,0.691,0.58
CIN,NL,1993,722,785,73,0.324,0.396,0.264,0,,,162,,,-0.389,0.451
CLE,AL,1993,790,813,76,0.335,0.409,0.275,0,,,162,,,-0.142,0.469
COL,NL,1993,758,967,67,0.323,0.422,0.273,0,,,162,,,-1.29,0.414
DET,AL,1993,899,837,85,0.362,0.434,0.275,0,,,162,,,0.383,0.525
FLA,NL,1993,581,724,64,0.314,0.346,0.248,0,,,162,,,-0.883,0.395
HOU,NL,1993,716,630,85,0.33,0.409,0.267,0,,,162,,,0.531,0.525
KCR,AL,1993,675,694,84,0.32,0.397,0.263,0,,,162,,,-0.117,0.519
LAD,NL,1993,675,662,81,0.321,0.383,0.261,0,,,162,,,0.08,0.5
MIL,AL,1993,733,792,69,0.328,0.378,0.258,0,,,162,,,-0.364,0.426
MIN,AL,1993,693,830,71,0.327,0.385,0.264,0,,,162,,,-0.846,0.438
MON,NL,1993,732,682,94,0.326,0.386,0.257,0,,,163,,,0.307,0.577
NYM,NL,1993,672,744,59,0.305,0.39,0.248,0,,,162,,,-0.444,0.364
NYY,AL,1993,821,761,88,0.353,0.435,0.279,0,,,162,,,0.37,0.543
OAK,AL,1993,715,846,68,0.33,0.394,0.254,0,,,162,,,-0.809,0.42
PHI,NL,1993,877,740,97,0.351,0.426,0.274,1,2,2,162,,,0.846,0.599
PIT,NL,1993,707,806,75,0.335,0.393,0.267,0,,,162,,,-0.611,0.463
SDP,NL,1993,679,772,61,0.312,0.389,0.252,0,,,162,,,-0.574,0.377
SEA,AL,1993,734,731,82,0.339,0.406,0.26,0,,,162,,,0.019,0.506
SFG,NL,1993,808,636,103,0.34,0.427,0.276,0,,,162,,,1.062,0.636
STL,NL,1993,758,744,87,0.341,0.395,0.272,0,,,162,,,0.086,0.537
TEX,AL,1993,835,751,86,0.329,0.431,0.267,0,,,162,,,0.519,0.531
TOR,AL,1993,847,742,95,0.35,0.436,0.279,1,3,1,162,,,0.648,0.586
ATL,NL,1992,682,569,98,0.316,0.388,0.254,1,1,2,162,,,0.698,0.605
BAL,AL,1992,705,656,89,0.34,0.398,0.259,0,,,162,,,0.302,0.549
BOS,AL,1992,599,669,73,0.321,0.347,0.246,0,,,162,,,-0.432,0.451
CAL,AL,1992,579,671,72,0.301,0.338,0.243,0,,,162,,,-0.568,0.444
CHC,NL,1992,593,624,78,0.307,0.364,0.254,0,,,162,,,-0.191,0.481
CHW,AL,1992,738,690,86,0.336,0.383,0.261,0,,,162,,,0.296,0.531
CIN,NL,1992,660,609,90,0.328,0.382,0.26,0,,,162,,,0.315,0.556
CLE,AL,1992,674,746,76,0.323,0.383,0.266,0,,,162,,,-0.444,0.469
DET,AL,1992,791,794,75,0.337,0.407,0.256,0,,,162,,,-0.019,0.463
HOU,NL,1992,608,668,81,0.313,0.359,0.246,0,,,162,,,-0.37,0.5
KCR,AL,1992,610,667,72,0.315,0.364,0.256,0,,,162,,,-0.352,0.444
LAD,NL,1992,548,636,63,0.313,0.339,0.248,0,,,162,,,-0.543,0.389
MIL,AL,1992,740,604,92,0.33,0.375,0.268,0,,,162,,,0.84,0.568
MIN,AL,1992,747,653,90,0.341,0.391,0.277,0,,,162,,,0.58,0.556
MON,NL,1992,648,581,87,0.313,0.37,0.252,0,,,162,,,0.414,0.537
NYM,NL,1992,599,653,72,0.31,0.342,0.235,0,,,162,,,-0.333,0.444
NYY,AL,1992,733,746,76,0.328,0.406,0.261,0,,,162,,,-0.08,0.469
OAK,AL,1992,745,672,96,0.346,0.386,0.258,1,2,3,162,,,0.451,0.593
PHI,NL,1992,686,717,70,0.32,0.377,0.253,0,,,162,,,-0.191,0.432
PIT,NL,1992,693,595,96,0.324,0.381,0.255,1,2,3,162,,,0.605,0.593
SDP,NL,1992,617,636,82,0.313,0.386,0.255,0,,,162,,,-0.117,0.506
SEA,AL,1992,679,799,64,0.323,0.402,0.263,0,,,162,,,-0.741,0.395
SFG,NL,1992,574,647,72,0.302,0.355,0.244,0,,,162,,,-0.451,0.444
STL,NL,1992,631,604,83,0.323,0.375,0.262,0,,,162,,,0.167,0.512
TEX,AL,1992,682,753,77,0.321,0.393,0.25,0,,,162,,,-0.438,0.475
TOR,AL,1992,780,682,96,0.333,0.414,0.263,1,2,1,162,,,0.605,0.593
ATL,NL,1991,749,644,94,0.328,0.393,0.258,1,3,2,162,,,0.648,0.58
BAL,AL,1991,686,796,67,0.319,0.401,0.254,0,,,162,,,-0.679,0.414
